,housing_median_age,total_rooms,long_lat_cluster,median_income_Power2,ocean_proximity_INLAND,ocean_proximity_NEAR OCEAN,ocean_proximity_INLAND_multiply_median_income_Power2,median_income_Power2_multiply_long_lat_cluster,median_house_value
8571,0.67012244,0.26039422,-1.0213981,1.7910577,0.0,0.0,0.0,-1.8293829,500001.0
15709,-0.2775492,-0.4240253,0.1210816,0.8712411,0.0,0.0,0.0,0.105491266,460000.0
4431,0.74788505,-0.869468,-1.0213981,-0.9864216,0.0,0.0,-0.0,1.0075291,115500.0
10561,-0.5190162,0.30061448,-1.0213981,1.2303059,0.0,0.0,0.0,-1.2566321,242800.0
3908,-0.76203185,1.1211516,-1.0213981,-0.72953266,0.0,0.0,-0.0,0.74514323,195000.0
19983,-1.334286,-0.42917368,0.73212504,-1.2367781,1.0,0.0,-1.2367781,-0.9054763,54400.0
5898,-1.0064436,-0.7357329,-1.0213981,-0.295798,0.0,0.0,-0.0,0.3021275,205000.0
4036,0.8254944,0.4066694,-1.0213981,0.94544464,0.0,0.0,0.0,-0.96567535,335400.0
13211,-1.2521273,1.4169307,-1.0213981,0.049535785,1.0,0.0,0.049535785,-0.050595757,163000.0
1166,1.4414437,-1.0933106,1.5516776,-1.7062116,1.0,0.0,-1.7062116,-2.6474903,57900.0
8792,0.19995128,1.2761312,-1.0213981,2.4138572,0.0,1.0,0.0,-2.4655092,500001.0
13431,-0.8433539,1.0015806,-1.0213981,0.4131626,1.0,0.0,0.4131626,-0.42200348,115400.0
17480,-0.19743578,-0.4353677,0.73212504,-1.1459255,0.0,1.0,-0.0,-0.83896077,187500.0
236,1.5942142,-1.3394628,0.1210816,-0.70983136,0.0,0.0,-0.0,-0.08594751,122000.0
10482,-1.9127636,1.7402922,-1.0213981,1.7053938,0.0,0.0,0.0,-1.7418859,330000.0
17043,-0.2775492,1.8695,0.1210816,1.4457514,0.0,1.0,0.0,0.1750539,500001.0
13452,0.041660286,-0.72525203,-1.0213981,-0.31765133,1.0,0.0,-0.31765133,0.32444847,102000.0
