,housing_median_age,total_rooms,long_lat_cluster,median_income_Power2,ocean_proximity_INLAND,ocean_proximity_NEAR OCEAN,median_income_Power2_multiply_housing_median_age,median_income_Power2_divide_long_lat_cluster,median_house_value
8571,0.67012244,0.26039422,0,1.7910577,0.0,0.0,1.200228,0.0,500001.0
15709,-0.2775492,-0.4240253,1,0.8712411,0.0,0.0,-0.24181227,0.8712410926818848,460000.0
4431,0.74788505,-0.869468,0,-0.9864216,0.0,0.0,-0.73772997,0.0,115500.0
10561,-0.5190162,0.30061448,0,1.2303059,0.0,0.0,-0.63854873,0.0,242800.0
3908,-0.76203185,1.1211516,0,-0.72953266,0.0,0.0,0.5559271,0.0,195000.0
19983,-1.334286,-0.42917368,2,-1.2367781,1.0,0.0,1.6502157,-0.6183890700340271,54400.0
5898,-1.0064436,-0.7357329,0,-0.295798,0.0,0.0,0.297704,0.0,205000.0
4036,0.8254944,0.4066694,0,0.94544464,0.0,0.0,0.7804593,0.0,335400.0
13211,-1.2521273,1.4169307,0,0.049535785,1.0,0.0,-0.062025107,0.0,163000.0
1166,1.4414437,-1.0933106,5,-1.7062116,1.0,0.0,-2.4594078,-0.34124231338500977,57900.0
8792,0.19995128,1.2761312,0,2.4138572,0.0,1.0,0.48265383,0.0,500001.0
13431,-0.8433539,1.0015806,0,0.4131626,1.0,0.0,-0.3484423,0.0,115400.0
17480,-0.19743578,-0.4353677,2,-1.1459255,0.0,1.0,0.2262467,-0.572962760925293,187500.0
236,1.5942142,-1.3394628,1,-0.70983136,0.0,0.0,-1.1316233,-0.7098313570022583,122000.0
10482,-1.9127636,1.7402922,0,1.7053938,0.0,0.0,-3.262015,0.0,330000.0
17043,-0.2775492,1.8695,1,1.4457514,0.0,1.0,-0.40126717,1.445751428604126,500001.0
13452,0.041660286,-0.72525203,0,-0.31765133,1.0,0.0,-0.013233446,0.0,102000.0
1423,-1.0064436,-1.065952,1,-0.9819899,0.0,0.0,0.9883175,-0.9819899201393127,75000.0
1117,-0.037821658,-0.38327527,3,-0.69646394,1.0,0.0,0.026341422,-0.232154647509257,93400.0
6651,0.9802747,-0.8512018,0,-1.2689012,0.0,0.0,-1.2438717,0.0,500001.0
13170,-1.7469116,-0.4353677,1,-1.0101112,1.0,0.0,1.764575,-1.0101112127304077,170800.0
2296,0.12091529,0.7258426,2,-1.1053777,1.0,0.0,-0.13365707,-0.5526888370513916,74500.0
6060,-1.334286,2.1765234,0,0.84989804,0.0,0.0,-1.134007,0.0,282100.0
16845,-0.5998577,2.3218987,1,0.43087813,0.0,1.0,-0.25846556,0.4308781325817108,344500.0
7346,0.5922002,-0.6734399,0,-0.7357834,0.0,0.0,-0.43573108,0.0,150000.0
11198,-0.19743578,-0.9750516,0,-1.044054,0.0,0.0,0.20613362,0.0,350000.0
1902,-1.0064436,0.63094,5,-0.021578766,1.0,0.0,0.021717811,-0.004315753281116485,134700.0
6100,0.51411223,-0.60256106,0,0.83345664,0.0,0.0,0.42849025,0.0,168800.0
5101,1.5178846,-0.52499855,0,-0.34843418,0.0,0.0,-0.52888286,0.0,136100.0
6519,-0.5998577,0.6965469,0,-1.0008632,1.0,0.0,0.6003755,0.0,156300.0
3985,0.35740978,0.58458513,0,1.1288714,0.0,0.0,0.40346968,0.0,248400.0
13631,0.27877948,-0.011122605,0,-0.83196443,1.0,0.0,-0.2319346,0.0,89200.0
2695,-0.43834656,-0.61591285,4,-0.9709403,1.0,0.0,0.42560834,-0.24273507297039032,74300.0
12477,1.8225651,0.040574796,5,-1.6831212,1.0,0.0,-3.0675979,-0.3366242408752441,90300.0
14824,1.8225651,-2.717272,4,-1.5389134,0.0,1.0,-2.8047698,-0.384728342294693,118800.0
11744,-0.924826,0.74636614,5,0.94636506,1.0,0.0,-0.87522304,0.18927301168441774,237100.0
7448,0.8254944,0.01696637,0,-0.50221276,0.0,0.0,-0.41457382,0.0,152200.0
15086,-0.43834656,0.3918684,4,-0.12455804,0.0,0.0,0.054599587,-0.03113950975239277,158900.0
11262,0.041660286,0.26827452,0,-0.2751946,0.0,0.0,-0.011464685,0.0,190500.0
