feature,importance_0,importance_1,importance_2,importance_3,importance_4,importance
P_2_last,330.0,359.0,311.0,330.0,352.0,336.4
D_39_last,205.0,198.0,201.0,191.0,191.0,197.2
B_3_last,188.0,169.0,167.0,155.0,169.0,169.6
B_4_last,158.0,163.0,176.0,162.0,177.0,167.2
B_5_last,175.0,168.0,134.0,145.0,123.0,149.0
P_2_mean,159.0,140.0,152.0,129.0,165.0,149.0
B_4_std,170.0,155.0,118.0,142.0,127.0,142.4
D_46_last,151.0,148.0,142.0,121.0,129.0,138.2
P_2_min,139.0,130.0,126.0,113.0,144.0,130.4
D_42_max,140.0,142.0,118.0,111.0,123.0,126.8
R_1_last,131.0,132.0,123.0,112.0,134.0,126.4
S_3_last,128.0,121.0,114.0,134.0,130.0,125.4
B_2_last,137.0,125.0,117.0,105.0,120.0,120.8
P_2_max,161.0,113.0,100.0,110.0,105.0,117.8
B_1_last,111.0,111.0,101.0,110.0,130.0,112.6
B_11_last,113.0,123.0,113.0,88.0,118.0,111.0
D_43_last,114.0,105.0,107.0,105.0,110.0,108.2
P_3_last,110.0,94.0,99.0,95.0,116.0,102.8
D_39_max,104.0,116.0,97.0,77.0,111.0,101.0
S_3_max,111.0,88.0,95.0,89.0,118.0,100.2
D_47_last,107.0,83.0,81.0,90.0,119.0,96.0
D_47_max,100.0,92.0,102.0,92.0,93.0,95.8
B_9_last,113.0,94.0,94.0,73.0,102.0,95.2
B_3_std,96.0,84.0,90.0,100.0,93.0,92.6
D_48_last,106.0,71.0,80.0,94.0,105.0,91.2
D_39_std,96.0,81.0,81.0,92.0,90.0,88.0
D_49_last,94.0,97.0,80.0,79.0,88.0,87.6
D_121_max,93.0,93.0,89.0,84.0,79.0,87.6
D_71_last,102.0,68.0,86.0,91.0,89.0,87.2
S_5_last,87.0,102.0,79.0,78.0,85.0,86.2
S_23_last,94.0,88.0,80.0,84.0,81.0,85.4
B_9_mean,87.0,67.0,92.0,75.0,104.0,85.0
D_44_last,85.0,82.0,76.0,90.0,89.0,84.4
D_60_last,88.0,77.0,80.0,88.0,83.0,83.2
B_9_std,86.0,81.0,74.0,87.0,88.0,83.2
S_23_std,90.0,94.0,85.0,64.0,82.0,83.0
S_12_min,91.0,100.0,68.0,64.0,86.0,81.8
S_12_mean,93.0,78.0,79.0,71.0,87.0,81.6
B_14_last,89.0,84.0,73.0,90.0,70.0,81.2
S_12_last,93.0,84.0,55.0,84.0,89.0,81.0
